전극,층,조직위,자극전극거리um,자극전극여부,기저선평균uV_per_ms,기저선표준편차,기저선흔들림pct,사후평균uV_per_ms,LTP_pct,신호대잡음,대조군LTP_pct,차분_실험군빼기대조군_pct
0,SLM,1,800.0,0,0.14229,3e-05,0.02,0.14228,-0.011,4914.1,,
1,SLM,1,600.0,0,0.20891,4e-05,0.02,0.20889,-0.009,4977.4,,
2,SR,1,400.0,0,0.35345,0.00152,0.43,0.35253,-0.261,232.61,,
3,SR,1,200.0,0,3.59917,0.00934,0.259,3.59664,-0.07,385.47,,
4,SR,1,0.0,1,1.35892,0.00545,0.401,1.35632,-0.192,249.19,,
5,SP,1,200.0,0,0.0323,0.00085,2.636,0.03195,-1.077,37.94,,
6,SP,1,400.0,0,0.00111,0.00096,86.623,0.00137,23.707,1.15,,
7,SO,1,600.0,0,0.00108,0.00093,86.631,0.0014,30.191,1.15,,
8,SLM,1,824.6,0,0.1763,8e-05,0.045,0.17631,0.006,2222.93,,
9,SR,1,632.5,0,0.28232,0.00015,0.055,0.2823,-0.006,1823.38,,
10,SR,1,447.2,0,0.2524,0.00206,0.817,0.2513,-0.436,122.46,,
11,SR,1,282.8,0,0.11806,0.00188,1.592,0.1193,1.051,62.81,,
12,SP,1,200.0,0,1.26128,0.00693,0.55,1.26339,0.167,181.95,,
13,SP,1,282.8,0,0.00852,0.00738,86.62,0.01105,29.618,1.15,,
14,SO,1,447.2,0,0.00467,0.00405,86.629,0.00615,31.712,1.15,,
15,SO,1,632.5,0,0.00217,0.00188,86.634,0.00289,32.987,1.15,,
16,SLM,1,894.4,0,0.20491,0.00028,0.135,0.20481,-0.048,738.22,,
17,SR,1,721.1,0,0.42921,0.00047,0.109,0.42909,-0.029,913.68,,
18,SR,1,565.7,0,0.84428,0.00288,0.341,0.84304,-0.147,293.16,,
19,SP,1,447.2,0,3.56029,0.00205,0.058,3.5609,0.017,1733.46,,
20,SP,1,400.0,0,0.01051,0.00739,70.308,0.01308,24.453,1.42,,
21,SO,1,447.2,0,0.01184,0.0089,75.163,0.015,26.673,1.33,,
22,SO,1,565.7,0,0.00592,0.00401,67.707,0.00736,24.345,1.48,,
23,SO,1,721.1,0,0.00259,0.00208,80.511,0.00339,31.086,1.24,,
